CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL2012190588,1305-0,ASSAULT,11/01/2012 08:10:00 PM,11/01/2012 03:30:00 AM,5,"600 S PARK ST
Salt lake City, Utah
(40.75623212200048, -111.87539271199967)","600 S PARK ST
Salt lake City, Utah
(40.75623212200048, -111.87539271199967)"
SL201231191,1305-0,ASSAULT,02/23/2012 02:53:00 PM,02/03/2012 06:35:00 PM,6,"00 W 200 S
Salt lake City, Utah
(40.76563656200045, -111.93087716699966)","00 W 200 S
Salt lake City, Utah
(40.76563656200045, -111.93087716699966)"
SL201266348,1313-0,ASSAULT,04/21/2012 10:22:00 PM,04/21/2012 10:22:00 PM,7,"200 W 200 N
Salt lake City, Utah
(40.773786148000454, -111.89700455499968)","200 W 200 N
Salt lake City, Utah
(40.773786148000454, -111.89700455499968)"
SL2012105782,1305-0,ASSAULT,06/22/2012 08:26:00 PM,06/22/2012 08:26:00 PM,6,"700 N REDWOOD RD
Salt lake City, Utah
(40.828761855000494, -111.9372164399997)","700 N REDWOOD RD
Salt lake City, Utah
(40.828761855000494, -111.9372164399997)"
SL201240348,1316-2,ASSAULT,03/10/2012 12:13:00 PM,03/10/2012 12:13:00 PM,7,"1300 S STATE ST
Salt lake City, Utah
(40.7415210850005, -111.88826244099971)","1300 S STATE ST
Salt lake City, Utah
(40.7415210850005, -111.88826244099971)"
SL201271066,1313-0,ASSAULT,04/29/2012 02:14:00 AM,04/29/2012 02:14:00 AM,1,"200 S WEST TEMPLE ST
Salt lake City, Utah
(40.76492118400046, -111.89399427499967)","200 S WEST TEMPLE ST
Salt lake City, Utah
(40.76492118400046, -111.89399427499967)"
SL2012199371,1313-0,ASSAULT,11/17/2012 11:06:00 AM,11/17/2012 11:06:00 AM,7,"1800 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77164812900048, -111.94225631099971)","1800 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77164812900048, -111.94225631099971)"
SL2012139790,1313-0,ASSAULT,08/11/2012 11:22:00 PM,08/11/2012 11:22:00 PM,7,"1900 W SIR JAMES WAY
Salt lake City, Utah
(40.783950663000496, -111.94533803999968)","1900 W SIR JAMES WAY
Salt lake City, Utah
(40.783950663000496, -111.94533803999968)"
SL2012205465,1313-0,ASSAULT,11/29/2012 12:17:00 PM,11/29/2012 10:55:00 AM,5,"200 N 300 W
Salt lake City, Utah
(40.77374055700045, -111.89965195199972)","200 N 300 W
Salt lake City, Utah
(40.77374055700045, -111.89965195199972)"
SL2012141443,1303-0,ASSAULT,08/14/2012 02:49:00 PM,08/12/2012 09:00:00 PM,1,"700 S 400 E
Salt lake City, Utah
(40.75403120100049, -111.8796705739997)","700 S 400 E
Salt lake City, Utah
(40.75403120100049, -111.8796705739997)"
SL201281202,1313-0,ASSAULT,05/15/2012 01:25:00 PM,05/15/2012 01:25:00 PM,3,"00 S MAIN ST
Salt lake City, Utah
(40.677136274000475, -111.89125586999967)","00 S MAIN ST
Salt lake City, Utah
(40.677136274000475, -111.89125586999967)"
SL2012221105,1316-4,ASSAULT,12/30/2012 02:52:00 PM,12/30/2012 02:52:00 PM,1,"400 W 300 S
Salt lake City, Utah
(40.762850836000496, -111.90275535399968)","400 W 300 S
Salt lake City, Utah
(40.762850836000496, -111.90275535399968)"
SL201274032,1304-0,ASSAULT,05/04/2012 01:17:00 AM,05/04/2012 01:17:00 AM,6,"400 N MORTON DR
Salt lake City, Utah
(40.778230764000455, -111.94523274899967)","400 N MORTON DR
Salt lake City, Utah
(40.778230764000455, -111.94523274899967)"
SL2012207656,1316-3,ASSAULT,12/03/2012 05:28:00 PM,12/03/2012 11:45:00 AM,2,"1000 S MAIN ST
Salt lake City, Utah
(40.74728530800047, -111.89109220399968)","1000 S MAIN ST
Salt lake City, Utah
(40.74728530800047, -111.89109220399968)"
SL201279002,1313-0,ASSAULT,05/11/2012 11:41:00 PM,05/11/2012 10:04:00 PM,6,"2400 S ELIZABETH ST
Salt lake City, Utah
(40.71822461200048, -111.85799591299968)","2400 S ELIZABETH ST
Salt lake City, Utah
(40.71822461200048, -111.85799591299968)"
SL2012180124,1305-0,ASSAULT,10/14/2012 12:53:00 PM,10/14/2012 12:53:00 PM,1,"700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)","700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)"
SL2012149621,1313-0,ASSAULT,08/26/2012 02:21:00 PM,08/26/2012 02:21:00 PM,1,"100 E 800 S
Salt lake City, Utah
(40.75193434200048, -111.8881076939997)","100 E 800 S
Salt lake City, Utah
(40.75193434200048, -111.8881076939997)"
SL201235871,1313-0,ASSAULT,03/02/2012 10:21:00 PM,03/02/2012 10:21:00 PM,6,"1500 S 1000 W
Salt lake City, Utah
(40.737040221000484, -111.86249672599968)","1500 S 1000 W
Salt lake City, Utah
(40.737040221000484, -111.86249672599968)"
SL201261397,1316-2,ASSAULT,04/14/2012 07:51:00 AM,04/14/2012 07:51:00 AM,7,"300 S 600 W
Salt lake City, Utah
(40.762390422000465, -111.9082065929997)","300 S 600 W
Salt lake City, Utah
(40.762390422000465, -111.9082065929997)"
SL2012166169,1316-3,ASSAULT,09/21/2012 02:30:00 PM,09/21/2012 02:30:00 PM,6,"2700 S 2000 E
Salt lake City, Utah
(40.71245052800049, -111.83412639499971)","2700 S 2000 E
Salt lake City, Utah
(40.71245052800049, -111.83412639499971)"
SL201297982,1313-0,ASSAULT,06/10/2012 10:29:00 PM,06/09/2012 09:30:00 PM,7,"200 S MAIN ST
Salt lake City, Utah
(40.773900565000474, -111.89108483699971)","200 S MAIN ST
Salt lake City, Utah
(40.773900565000474, -111.89108483699971)"
